,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
1467,Joey Graham,2006,2011,F,6-7,225,"June 11, 1982",Oklahoma State University,grahajo01
1468,Mal Graham,1968,1969,G,6-1,185,"February 23, 1945",New York University,grahama01
1469,Orlando Graham,1989,1989,F,6-8,220,"May 5, 1965",Auburn University at Montgomery,grahaor01
1470,Paul Graham,1992,1994,F-G,6-6,200,"November 28, 1967",Ohio University,grahapa01
1471,Stephen Graham,2006,2011,G,6-6,215,"June 11, 1982",Oklahoma State University,grahast01
1472,Treveon Graham,2017,2018,G,6-6,220,"October 29, 1993",Virginia Commonwealth University,grahatr01
1473,Jim Grandholm,1991,1991,F-C,7-0,235,"October 4, 1960",University of South Florida,grandji01
1474,Ron Grandison,1989,1996,F,6-6,215,"July 9, 1964",University of New Orleans,grandro01
1475,Danny Granger,2006,2015,F,6-9,222,"April 20, 1983",University of New Mexico,grangda01
1476,Stewart Granger,1984,1987,G,6-3,190,"October 27, 1961",Villanova University,grangst01
1477,Brian Grant,1995,2006,F,6-9,254,"March 5, 1972",Xavier University,grantbr01
1478,Bud Grant,1950,1951,F,6-3,195,"May 20, 1927",University of Minnesota,grantbu01
1479,Gary Grant,1989,2001,G,6-3,185,"April 21, 1965",University of Michigan,grantga01
1480,Greg Grant,1990,1996,G,5-7,140,"August 29, 1966",Trenton State University,grantgr01
1481,Harvey Grant,1989,1999,F,6-8,195,"July 4, 1965",University of Oklahoma,grantha01
1482,Horace Grant,1988,2004,F-C,6-10,215,"July 4, 1965",Clemson University,grantho01
1483,Jerami Grant,2015,2018,F,6-8,210,"March 12, 1994",Syracuse University,grantje01
1484,Jerian Grant,2016,2018,G,6-4,195,"October 9, 1992",University of Notre Dame,grantje02
1485,Josh Grant,1994,1994,F,6-9,223,"August 7, 1967",University of Utah,grantjo01
1486,Paul Grant,1999,2004,C,7-0,245,"January 6, 1974",University of Wisconsin,grantpa01
1487,Travis Grant,1973,1976,F,6-7,215,"January 1, 1950",Kentucky State University,granttr01
1488,Don Grate,1950,1950,F-G,6-2,185,"August 27, 1923",Ohio State University,gratedo01
1489,Butch Graves,1985,1985,G,6-3,200,"January 5, 1962",Yale University,gravebu01
1490,Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",University of Pittsburgh,grayaa01
1491,Devin Gray,1997,2000,F,6-7,240,"May 31, 1972",Clemson University,grayde01
1492,Ed Gray,1998,1999,G,6-3,210,"September 27, 1975",University of California,grayed01
1493,Evric Gray,1997,1997,F,6-7,235,"December 13, 1969","University of Nevada, Las Vegas",grayev01
1494,Gary Gray,1968,1968,G,6-1,185,"February 23, 1945",Oklahoma City University,grayga01
1495,Leonard Gray,1975,1977,F,6-8,240,"December 19, 1951","California State University, Long Beach",grayle01
1496,Stuart Gray,1985,1991,C-F,7-0,235,"May 27, 1963","University of California, Los Angeles",grayst01
1497,Sylvester Gray,1989,1989,F,6-6,230,"July 8, 1967",University of Memphis,graysy01
1498,Wyndol Gray,1947,1948,G-F,6-1,175,"March 20, 1922",Harvard University,graywy01
1499,Jeff Grayer,1989,1998,F-G,6-5,200,"December 17, 1965",Iowa State University,grayeje01
1500,Bob Greacen,1970,1972,F,6-7,206,"September 15, 1947",Rutgers University,greacbo01
1501,A.C. Green,1986,2001,F-C,6-9,220,"October 4, 1963",Oregon State University,greenac01
1502,Danny Green,2010,2018,G-F,6-6,215,"June 22, 1987",University of North Carolina,greenda02
1503,Devin Green,2006,2006,G,6-7,210,"October 25, 1982",Hampton University,greende01
1504,Draymond Green,2013,2018,F,6-7,230,"March 4, 1990",Michigan State University,greendr01
1505,Erick Green,2015,2016,G,6-4,185,"May 9, 1991",Virginia Polytechnic Institute and State University,greener01
1506,Gerald Green,2006,2018,G-F,6-7,205,"January 26, 1986",,greenge01
1507,JaMychal Green,2015,2018,F,6-9,227,"June 21, 1990",University of Alabama,greenja01
1508,Jeff Green,2008,2018,F,6-9,235,"August 28, 1986",Georgetown University,greenje02
1509,Johnny Green,1960,1973,F-C,6-5,200,"December 8, 1933",Michigan State University,greenjo01
1510,Ken Green,1986,1986,F,6-8,215,"September 19, 1959",University of Texas-Pan American,greenke01
1511,Kenny Green,1986,1987,F,6-6,210,"October 11, 1964",Wake Forest University,greenke02
1512,Lamar Green,1970,1975,F-C,6-7,210,"March 22, 1947",Morehead State University,greenla01
1513,Litterial Green,1993,1999,G,6-1,185,"March 7, 1970",University of Georgia,greenli01
1514,Luther Green,1970,1973,F,6-7,190,"November 13, 1946",Long Island University,greenlu01
1515,Mike Green,1974,1980,C-F,6-10,200,"August 6, 1951",Louisiana Tech University,greenmi01
1516,Rickey Green,1978,1992,G,6-0,170,"August 18, 1954",University of Michigan,greenri01
1517,Sean Green,1992,1994,G-F,6-5,210,"February 2, 1970",Iona College,greense01
1518,Si Green,1957,1966,G-F,6-2,185,"August 20, 1933",Duquesne University,greensi01
1519,Sidney Green,1984,1993,F-C,6-9,220,"January 4, 1961","University of Nevada, Las Vegas",greensi02
1520,Steve Green,1976,1979,F,6-7,220,"October 4, 1953",Indiana University,greenst01
1521,Taurean Green,2008,2008,G,6-0,177,"November 28, 1986",University of Florida,greenta01
1522,Tommie Green,1979,1979,G,6-2,185,"April 8, 1956",Southern University and A&M College,greento01
1523,Willie Green,2004,2015,G,6-4,200,"July 28, 1981",University of Detroit Mercy,greenwi01
1524,Donte Greene,2009,2012,F,6-11,226,"February 21, 1988",Syracuse University,greendo01
1525,Orien Greene,2006,2011,G,6-4,208,"February 4, 1982",University of Louisiana at Lafayette,greenor01
1526,Jerry Greenspan,1964,1965,F,6-5,195,"November 22, 1941",University of Maryland,greenje01
1527,Dave Greenwood,1980,1991,F-C,6-9,222,"May 27, 1957","University of California, Los Angeles",greenda01
1528,Hal Greer,1959,1973,G-F,6-2,175,"June 26, 1936",Marshall University,greerha01
1529,Lynn Greer,2007,2007,G,6-2,175,"October 23, 1979",Temple University,greerly01
1530,Gary Gregor,1969,1974,F-C,6-7,225,"August 13, 1945",University of South Carolina,gregoga01
1531,Claude Gregory,1986,1988,F,6-8,205,"December 26, 1958",University of Wisconsin,gregocl01
1532,John Greig,1983,1983,F,6-7,215,"April 28, 1961",University of Oregon,greigjo01
1533,Norm Grekin,1954,1954,F,6-5,180,"June 22, 1930",La Salle University,grekino01
1534,Kevin Grevey,1976,1985,G-F,6-5,210,"May 12, 1953",University of Kentucky,greveke01
1535,Dennis Grey,1969,1970,C-F,6-8,215,"August 26, 1947",California Western Uiversity,greyde01
1536,Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall University,griffad01
1537,Blake Griffin,2011,2018,F,6-10,251,"March 16, 1989",University of Oklahoma,griffbl01
1538,Eddie Griffin,2002,2007,F-C,6-10,220,"May 30, 1982",Seton Hall University,griffed01
1539,Greg Griffin,1978,1978,F,6-7,190,"September 6, 1952",Idaho State University,griffgr01
1540,Paul Griffin,1977,1983,F-C,6-9,205,"January 20, 1954",Western Michigan University,griffpa01
1541,Taylor Griffin,2010,2010,F,6-7,238,"April 18, 1986",University of Oklahoma,griffta01
1542,Darrell Griffith,1981,1991,G,6-4,190,"June 16, 1958",University of Louisville,griffda01
1543,Chuck Grigsby,1955,1955,G,6-5,190,"August 15, 1928",University of Dayton,grigsch01
1544,Derek Grimm,1998,1998,F,6-9,230,"August 3, 1974",University of Missouri,grimmde01
1545,Woody Grimshaw,1947,1947,G,6-1,185,"September 24, 1919",Brown University,grimswo01
1546,Dick Groat,1953,1953,G,5-11,180,"November 4, 1930",Duke University,groatdi01
1547,Bob Gross,1976,1983,F-G,6-6,200,"August 3, 1953","California State University, Long Beach",grossbo01
1548,Mike Grosso,1972,1972,C,6-9,230,"September 7, 1947",University of Louisville,grossmi01
1549,Jerry Grote,1965,1965,G,6-4,215,"December 28, 1940",Loyola Marymount University,groteje01
1550,Alex Groza,1950,1951,C,6-7,218,"October 7, 1926",University of Kentucky,grozaal01
1551,Dick Grubar,1970,1970,G,6-4,184,"July 26, 1947",University of North Carolina,grubadi01
1552,Anthony Grundy,2006,2006,G,6-3,180,"April 15, 1979",North Carolina State University,grundan01
1553,Ernie Grunfeld,1978,1986,G-F,6-6,210,"April 24, 1955",University of Tennessee,grunfer01
1554,Gene Guarilia,1960,1963,F,6-5,220,"September 13, 1937",George Washington University,guarige01
1555,Petur Gudmundsson,1982,1989,C,7-2,260,"October 30, 1958",University of Washington,gudmupe01
1556,Richie Guerin,1957,1970,G,6-4,195,"May 29, 1932",Iona College,gueriri01
1557,Tom Gugliotta,1993,2005,F,6-10,240,"December 19, 1969",North Carolina State University,guglito01
1558,Andres Guibert,1994,1995,F-C,6-10,225,"October 28, 1968",,guibean01
1559,Jay Guidinger,1993,1994,C,6-10,255,"August 18, 1969",University of Minnesota Duluth,guidija01
1560,Coulby Gunther,1947,1949,F,6-4,190,"February 5, 1923",Boston College,gunthco01
1561,Dave Gunther,1963,1963,F,6-7,190,"July 22, 1937",University of Iowa,gunthda01
1562,Al Guokas,1950,1950,F-G,6-5,200,"August 7, 1925",Saint Joseph's University,guokaal01
1563,Matt Guokas,1947,1947,F,6-3,195,"November 11, 1915",Saint Joseph's University,guokama01
1564,Matt Guokas,1967,1976,G-F,6-5,175,"February 25, 1944",Saint Joseph's University,guokama02
1565,Jorge Gutierrez,2014,2016,G,6-3,191,"December 27, 1988",University of California,gutiejo01
1566,A.J. Guyton,2001,2003,G,6-1,180,"February 12, 1978",Indiana University,guytoaj01
1567,Rudy Hackett,1976,1977,F,6-9,210,"May 10, 1953",Syracuse University,hackeru01
1568,Hamed Haddadi,2009,2013,C,7-2,254,"May 19, 1985",,haddaha01
1569,Jim Hadnot,1968,1968,C-F,6-10,235,"January 15, 1940",Providence College,hadnoji01
1570,Scott Haffner,1990,1991,G,6-3,180,"February 2, 1966",University of Evansville,haffnsc01
1571,Cliff Hagan,1957,1970,F-G,6-4,210,"December 9, 1931",University of Kentucky,hagancl01
1572,Glenn Hagan,1982,1982,G,6-0,170,"June 25, 1955",St. Bonaventure University,hagangl01
1573,Tom Hagan,1970,1971,G,6-3,185,"January 29, 1947",Vanderbilt University,haganto01
1574,Robert Hahn,1950,1950,C,6-10,240,"August 25, 1925",North Carolina State University,hahnro01
1575,Al Hairston,1969,1970,G,6-1,170,"December 11, 1945",Bowling Green State University,hairsal01
1576,Happy Hairston,1965,1975,F,6-7,225,"May 31, 1942",New York University,hairsha01
1577,Lindsay Hairston,1976,1976,F-C,6-7,180,"December 8, 1951",Michigan State University,hairsli01
1578,Malik Hairston,2009,2010,G,6-6,220,"February 23, 1987",University of Oregon,hairsma01
1579,P.J. Hairston,2015,2016,G-F,6-6,230,"December 24, 1992",University of North Carolina,hairspj02
1580,Marcus Haislip,2003,2010,F,6-10,230,"December 22, 1980",University of Tennessee,haislma01
1581,Chick Halbert,1947,1951,C,6-9,225,"February 27, 1919",West Texas A&M University,halbech01
1582,Swede Halbrook,1961,1962,C,7-3,235,"January 30, 1933",Oregon State University,halbrsw01
1583,Bruce Hale,1949,1951,G-F,6-1,170,"August 30, 1918",Santa Clara University,halebr01
1584,Hal Hale,1968,1968,G,6-1,180,"September 21, 1945",Utah State University,haleha01
1585,Jack Haley,1989,1998,C-F,6-10,240,"January 27, 1964","University of California, Los Angeles",haleyja01
1586,Shaler Halimon,1969,1973,G-F,6-5,199,"March 30, 1945",Utah State University,halimsh01
1587,Mike Hall,2007,2007,F,6-8,230,"June 5, 1984",George Washington University,hallmi01
1588,Jeff Halliburton,1972,1973,G,6-5,193,"July 3, 1949",Drake University,hallije01
1589,Darvin Ham,1997,2005,F,6-7,220,"July 23, 1973",Texas Tech University,hamda01
1590,Steve Hamer,1997,1997,C,7-0,245,"November 13, 1973",University of Tennessee,hamerst01
1591,Dale Hamilton,1950,1950,G-F,6-0,180,"August 16, 1919",Franklin College,hamilda01
1592,Daniel Hamilton,2018,2018,G-F,6-7,195,"August 8, 1995",University of Connecticut,hamilda02
1593,Dennis Hamilton,1968,1971,F,6-8,210,"May 8, 1944",Arizona State University,hamilde01
1594,Joe Hamilton,1971,1976,G,5-10,160,"July 5, 1948",University of North Texas,hamiljo01
1595,Jordan Hamilton,2012,2016,G-F,6-7,220,"October 6, 1990",University of Texas at Austin,hamiljo02
1596,Justin Hamilton,2014,2017,C,7-0,260,"April 1, 1990",Louisiana State University,hamilju01
1597,Ralph Hamilton,1949,1949,G-F,6-1,188,"June 10, 1921",Indiana University,hamilra01
1598,Richard Hamilton,2000,2013,G-F,6-6,185,"February 14, 1978",University of Connecticut,hamilri01
1599,Roy Hamilton,1980,1981,G,6-2,180,"July 20, 1957","University of California, Los Angeles",hamilro01
1600,Steve Hamilton,1959,1960,F-C,6-6,190,"November 30, 1935",Morehead State University,hamilst01
1601,Tang Hamilton,2002,2002,F,6-8,220,"May 26, 1978",Mississippi State University,hamilta01
1602,Thomas Hamilton,1996,2000,C,7-2,330,"April 3, 1975",University of Pittsburgh,hamilth01
1603,Zendon Hamilton,2001,2006,C-F,6-11,250,"April 27, 1975",St. John's University,hamilze01
1604,Geert Hammink,1994,1996,C,7-0,262,"July 12, 1969",Louisiana State University,hammige01
1605,Julian Hammond,1968,1972,F,6-5,205,"May 27, 1943",University of Tulsa,hammoju01
1606,Tom Hammonds,1990,2001,F,6-9,215,"March 27, 1967",Georgia Institute of Technology,hammoto01
1607,A.J. Hammons,2017,2017,C,7-0,260,"August 27, 1992",Purdue University,hammoaj01
1608,Joe Hamood,1968,1968,G,6-0,180,"September 7, 1943",University of Houston,hamoojo01
1609,Darrin Hancock,1995,1997,G-F,6-7,205,"November 3, 1971",University of Kansas,hancoda01
1610,Ben Handlogten,2004,2005,C,6-10,240,"November 16, 1973",Western Michigan University,handlbe01
1611,Cecil Hankins,1947,1948,G,6-1,175,"January 6, 1922",Oklahoma State University,hankice01
1612,Phil Hankinson,1974,1975,F,6-8,195,"July 26, 1951",University of Pennsylvania,hankiph01
1613,Alex Hannum,1950,1957,F-C,6-7,210,"July 19, 1923",University of Southern California,hannual01
1614,Don Hanrahan,1953,1953,F,6-7,200,"February 6, 1929",Loyola University of Chicago,hanrado01
1615,Rollen Hans,1954,1955,G,6-2,210,"April 13, 1931",Long Island University,hansro01
1616,Ben Hansbrough,2013,2013,G,6-3,203,"December 23, 1987",University of Notre Dame,hansbbe01
1617,Tyler Hansbrough,2010,2016,F,6-9,250,"November 3, 1985",University of North Carolina,hansbty01
1618,Bob Hansen,1984,1992,G,6-6,190,"January 18, 1961",University of Iowa,hansebo01
1619,Glenn Hansen,1976,1978,G,6-4,205,"April 21, 1952",Louisiana State University,hansegl01
1620,Lars Hansen,1979,1979,C,6-10,225,"September 14, 1954",University of Washington,hansela01
1621,Travis Hansen,2004,2004,G,6-6,205,"April 15, 1978",Brigham Young University,hansetr01
1622,Reggie Hanson,1998,1998,F,6-8,195,"October 6, 1968",University of Kentucky,hansore01
1623,Bill Hanzlik,1981,1990,G-F,6-7,185,"December 6, 1957",University of Notre Dame,hanzlbi01
1624,Luke Harangody,2011,2012,F,6-8,246,"January 2, 1988",University of Notre Dame,haranlu01
1625,Anfernee Hardaway,1994,2008,G-F,6-7,195,"July 18, 1971",University of Memphis,hardaan01
1626,Tim Hardaway,1990,2003,G,6-0,175,"September 1, 1966",University of Texas at El Paso,hardati01
1627,Tim Hardaway,2014,2018,G,6-6,205,"March 16, 1992",University of Michigan,hardati02
1628,James Harden,2010,2018,G,6-5,220,"August 26, 1989",Arizona State University,hardeja01
1629,Reggie Harding,1964,1968,C,7-0,249,"May 4, 1942",,hardire01
1630,Charlie Hardnett,1963,1965,F-C,6-8,225,"September 13, 1938",Grambling State University,hardnch01
1631,Alan Hardy,1981,1982,F,6-7,195,"May 25, 1957",University of Michigan,hardyal01
1632,Darrell Hardy,1968,1968,F,6-7,220,,Baylor University,hardyda01
1633,James Hardy,1979,1982,F-C,6-8,220,"December 1, 1956",University of San Francisco,hardyja01
1634,Ira Harge,1968,1973,C,6-9,225,"March 14, 1941",University of New Mexico,hargeir01
1635,John Hargis,1950,1951,G-F,6-2,180,"August 20, 1920",University of Texas at Austin,hargijo01
1636,Maurice Harkless,2013,2018,F-G,6-9,215,"May 11, 1993",St. John's University,harklma01
1637,Jerry Harkness,1964,1969,G,6-2,175,"May 7, 1940",Loyola University of Chicago,harknje01
1638,Skip Harlicka,1969,1969,G,6-1,185,"October 14, 1946",University of South Carolina,harlisk01
1639,Jerome Harmon,1995,1995,G,6-4,190,"February 6, 1969",University of Louisville,harmoje01
1640,Derek Harper,1984,1999,G,6-4,185,"October 13, 1961",University of Illinois at Urbana-Champaign,harpede01
1641,Justin Harper,2012,2017,F,6-10,225,"August 30, 1989",University of Richmond,harpeju01
1642,Mike Harper,1981,1982,C-F,6-10,195,"December 9, 1957",North Park University,harpemi01
1643,Ron Harper,1987,2001,G-F,6-6,185,"January 20, 1964",Miami University,harpero01
1644,Matt Harpring,1999,2009,F,6-7,231,"May 31, 1976",Georgia Institute of Technology,harprma01
1645,Montrezl Harrell,2016,2018,F-C,6-8,240,"January 26, 1994",University of Louisville,harremo01
1646,Josh Harrellson,2012,2014,C,6-10,275,"February 12, 1989",University of Kentucky,harrejo01
1647,Adam Harrington,2003,2003,G,6-5,200,"July 5, 1980",Auburn University,harriad01
1648,Al Harrington,1999,2014,F,6-9,230,"February 17, 1980",,harrial01
1649,Junior Harrington,2003,2007,G,6-4,180,"October 2, 1980",Wingate University,harriju01
1650,Othella Harrington,1997,2008,F-C,6-9,235,"January 31, 1974",Georgetown University,harriot01
1651,Art Harris,1969,1972,G,6-4,185,"January 13, 1947",Stanford University,harriar01
1652,Bernie Harris,1975,1975,F,6-10,200,"November 26, 1950",Virginia Commonwealth University,harribe01
1653,Billy Harris,1975,1975,G,6-2,185,"November 12, 1951",Northern Illinois University,harribi01
1654,Bob Harris,1950,1954,F-C,6-7,195,"March 16, 1927",Oklahoma State University,harribo01
1655,Chris Harris,1956,1956,G,6-3,190,"August 11, 1933",University of Dayton,harrich01
1656,Devin Harris,2005,2018,G,6-3,192,"February 27, 1983",University of Wisconsin,harride01
1657,Elias Harris,2014,2014,F,6-8,239,"July 6, 1989",Gonzaga University,harriel01
1658,Gary Harris,2015,2018,G,6-4,210,"September 14, 1994",Michigan State University,harriga01
1659,Joe Harris,2015,2018,G,6-6,219,"September 6, 1991",University of Virginia,harrijo01
1660,Lucious Harris,1994,2005,G,6-5,190,"December 18, 1970","California State University, Long Beach",harrilu01
1661,Manny Harris,2011,2017,G,6-5,185,"September 21, 1989",University of Michigan,harrima01
1662,Mike Harris,2008,2014,F,6-6,240,"June 15, 1983",Rice University,harrimi01
1663,Steve Harris,1986,1990,G,6-5,195,"October 15, 1963",University of Tulsa,harrist01
1664,Terrel Harris,2012,2013,G,6-5,190,"August 10, 1987",Oklahoma State University,harrite01
1665,Tobias Harris,2012,2018,F,6-9,235,"July 15, 1992",University of Tennessee,harrito02
1666,Tony Harris,1991,1995,G,6-3,190,"May 13, 1967",University of New Orleans,harrito01
1667,Aaron Harrison,2016,2017,G,6-6,210,"October 28, 1994",University of Kentucky,harriaa01
1668,Andrew Harrison,2017,2018,G,6-6,213,"October 28, 1994",University of Kentucky,harrian01
1669,Bob Harrison,1950,1958,G,6-1,190,"August 12, 1927",University of Michigan,harribo02
1670,David Harrison,2005,2008,C,7-0,280,"August 15, 1982",University of Colorado,harrida01
1671,Jason Hart,2001,2010,G,6-3,185,"April 29, 1978",Syracuse University,hartja01
1672,Josh Hart,2018,2018,G,6-5,209,"March 6, 1995",Villanova University,hartjo01
1673,Antonio Harvey,1994,2003,F-C,6-11,225,"July 6, 1970",Pfeiffer University,harvean01
1674,Donnell Harvey,2001,2005,F,6-8,220,"August 26, 1980",University of Florida,harvedo01
1675,Scott Haskin,1994,1994,C-F,6-11,250,"September 19, 1970",Oregon State University,haskisc01
1676,Clem Haskins,1968,1976,G,6-3,195,"July 11, 1943",Western Kentucky University,haskicl01
